Airline,Source,Destination,Total_Stops,Day,Month,Year,Dept_Hour,Dept_Minute,Arr_Hour,Arr_Minute,hoursMinutes,Price
IndiGo,Banglore,Delhi,non-stop,24,3,2019,22,20,1,10,170,3897
IndiGo,Kolkata,Banglore,1 stop,12,5,2019,18,5,23,30,325,6218
IndiGo,Kolkata,Banglore,non-stop,18,4,2019,20,20,22,55,155,4174
IndiGo,Kolkata,Banglore,non-stop,24,4,2019,17,15,19,50,155,4804
IndiGo,Banglore,Delhi,non-stop,3,4,2019,4,0,6,50,170,3943
IndiGo,Banglore,Delhi,non-stop,1,5,2019,18,55,21,50,175,4823
IndiGo,Delhi,Cochin,1 stop,1,6,2019,21,50,3,35,345,8238
IndiGo,Banglore,Delhi,non-stop,6,4,2019,4,0,6,50,170,4423
IndiGo,Delhi,Cochin,1 stop,27,6,2019,10,35,21,0,625,5894
IndiGo,Banglore,Delhi,non-stop,27,5,2019,4,0,6,50,170,3943
IndiGo,Banglore,Delhi,non-stop,24,3,2019,22,20,1,10,170,4377
IndiGo,Banglore,Delhi,non-stop,18,6,2019,21,15,0,15,180,3943
IndiGo,Delhi,Cochin,1 stop,15,5,2019,15,0,1,30,630,7191
IndiGo,Delhi,Cochin,1 stop,24,6,2019,10,35,21,0,625,5894
IndiGo,Chennai,Kolkata,non-stop,12,3,2019,13,20,15,35,135,6297
IndiGo,Delhi,Cochin,1 stop,21,3,2019,5,5,10,5,300,6893
IndiGo,Mumbai,Hyderabad,non-stop,3,4,2019,6,25,7,55,90,4049
IndiGo,Delhi,Cochin,1 stop,27,6,2019,11,25,21,0,575,5894
IndiGo,Delhi,Cochin,1 stop,24,6,2019,2,0,7,25,325,5636
IndiGo,Chennai,Kolkata,non-stop,21,6,2019,5,15,7,40,145,3540
IndiGo,Banglore,Delhi,non-stop,12,4,2019,18,55,21,50,175,5780
IndiGo,Chennai,Kolkata,non-stop,12,5,2019,5,15,7,40,145,3540
IndiGo,Banglore,Delhi,non-stop,24,6,2019,4,0,6,50,170,3943
IndiGo,Chennai,Kolkata,non-stop,3,6,2019,14,45,17,5,140,3597
IndiGo,Kolkata,Banglore,non-stop,15,6,2019,20,25,23,10,165,4804
IndiGo,Delhi,Cochin,1 stop,15,6,2019,2,0,7,25,325,5636
IndiGo,Delhi,Cochin,1 stop,9,6,2019,7,35,16,10,515,6442
IndiGo,Delhi,Cochin,1 stop,24,6,2019,15,10,20,0,290,6147
IndiGo,Banglore,Delhi,non-stop,3,3,2019,18,55,21,45,170,8855
IndiGo,Banglore,Delhi,non-stop,24,3,2019,0,40,3,25,165,4777
IndiGo,Delhi,Cochin,1 stop,9,5,2019,6,50,16,10,560,6442
IndiGo,Banglore,Delhi,non-stop,27,5,2019,1,30,4,15,165,3419
IndiGo,Delhi,Cochin,1 stop,3,4,2019,20,25,1,30,305,5073
IndiGo,Chennai,Kolkata,non-stop,12,5,2019,14,45,17,5,140,3858
IndiGo,Delhi,Cochin,1 stop,27,6,2019,21,50,3,35,345,5775
IndiGo,Kolkata,Banglore,non-stop,3,6,2019,15,30,18,5,155,4804
IndiGo,Banglore,Delhi,1 stop,3,3,2019,12,10,17,5,295,8738
IndiGo,Delhi,Cochin,1 stop,24,6,2019,16,10,22,30,380,6412
IndiGo,Delhi,Cochin,non-stop,24,4,2019,5,35,8,50,195,5013
IndiGo,Delhi,Cochin,1 stop,27,3,2019,16,0,1,35,575,7048
IndiGo,Banglore,Delhi,non-stop,12,5,2019,0,30,3,25,175,3943
IndiGo,Delhi,Cochin,1 stop,1,6,2019,5,10,10,5,295,6842
IndiGo,Banglore,Delhi,non-stop,1,6,2019,1,30,4,15,165,4077
IndiGo,Banglore,Delhi,non-stop,27,4,2019,23,30,2,20,170,3943
IndiGo,Delhi,Cochin,1 stop,1,5,2019,21,50,3,35,345,6349
IndiGo,Banglore,Delhi,non-stop,15,3,2019,18,25,21,20,175,8855
IndiGo,Banglore,Delhi,non-stop,24,4,2019,23,30,2,20,170,3943
IndiGo,Delhi,Cochin,1 stop,15,5,2019,10,35,21,0,625,6979
IndiGo,Banglore,Delhi,non-stop,3,6,2019,22,10,1,0,170,3359
IndiGo,Kolkata,Banglore,non-stop,18,3,2019,9,35,12,20,165,4462
IndiGo,Delhi,Cochin,1 stop,9,3,2019,4,55,16,10,675,6171
IndiGo,Delhi,Cochin,1 stop,24,6,2019,11,25,1,30,845,5684
IndiGo,Mumbai,Hyderabad,non-stop,15,3,2019,21,20,22,45,85,2754
IndiGo,Delhi,Cochin,non-stop,24,6,2019,5,35,8,50,195,5000
IndiGo,Kolkata,Banglore,non-stop,6,5,2019,21,25,0,5,160,4804
IndiGo,Banglore,Delhi,non-stop,12,5,2019,16,55,19,55,180,4823
IndiGo,Kolkata,Banglore,non-stop,18,5,2019,21,25,0,5,160,4804
IndiGo,Mumbai,Hyderabad,non-stop,3,5,2019,2,35,4,5,90,2754
IndiGo,Delhi,Cochin,2 stops,9,3,2019,6,40,21,20,880,8146
IndiGo,Chennai,Kolkata,non-stop,6,3,2019,13,20,15,35,135,7295
IndiGo,Kolkata,Banglore,non-stop,15,3,2019,15,20,17,55,155,4148
IndiGo,Banglore,Delhi,non-stop,24,3,2019,18,25,21,20,175,7303
IndiGo,Delhi,Cochin,1 stop,21,3,2019,14,20,22,20,480,6528
IndiGo,Kolkata,Banglore,non-stop,12,3,2019,20,25,23,5,160,4148
IndiGo,Kolkata,Banglore,non-stop,6,6,2019,22,15,0,50,155,4804
IndiGo,Delhi,Cochin,1 stop,15,5,2019,5,10,10,5,295,6496
IndiGo,Kolkata,Banglore,non-stop,15,6,2019,21,25,0,5,160,4804
IndiGo,Banglore,Delhi,non-stop,1,6,2019,23,30,2,20,170,4591
IndiGo,Banglore,Delhi,1 stop,18,3,2019,16,15,20,35,260,4437
IndiGo,Chennai,Kolkata,non-stop,3,3,2019,14,40,17,5,145,7295
IndiGo,Banglore,Delhi,non-stop,9,3,2019,18,25,21,20,175,6860
IndiGo,Banglore,Delhi,non-stop,9,4,2019,20,0,22,50,170,4823
IndiGo,Mumbai,Hyderabad,non-stop,3,6,2019,19,5,20,35,90,2754
IndiGo,Banglore,Delhi,non-stop,9,4,2019,16,55,19,55,180,4823
IndiGo,Kolkata,Banglore,non-stop,18,5,2019,22,15,0,50,155,4804
IndiGo,Chennai,Kolkata,non-stop,3,6,2019,19,35,21,55,140,3597
IndiGo,Banglore,Delhi,non-stop,18,4,2019,23,30,2,20,170,4591
IndiGo,Banglore,Delhi,non-stop,18,5,2019,10,10,13,0,170,3943
IndiGo,Delhi,Cochin,1 stop,15,5,2019,6,50,16,10,560,6442
IndiGo,Banglore,Delhi,non-stop,12,4,2019,23,30,2,20,170,6906
IndiGo,Delhi,Cochin,1 stop,18,5,2019,6,50,12,10,320,6347
